Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0145668715	99999.9641	99999.9641	99999.9641	99999.9641	0	0	0	845.602	0	0	3
2	2	0	0.0291337431	99999.9844	99999.9743	99999.9641	99999.9844	0.0101847544	0	0	302.26	0	0	3
3	3	0	0.0437006146	99999.9934	99999.9806	99999.9641	99999.9934	0.0165736579	0	0	279.363	0	0	3
4	3	0	0.0582674861	99999.9966	99999.9846	99999.9641	99999.9966	0.0205659552	0	0	261.947	0	0	3
5	4	0	0.0728343577	99999.9944	99999.9866	99999.9641	99999.9966	0.0225287264	0	0	242.971	0	0	3
6	4	0	0.0874012292	99999.9941	99999.9878	99999.9641	99999.9966	0.0237766216	0	0	209.947	0	0	3
7	5	0	0.101968101	99999.9934	99999.9886	99999.9641	99999.9966	0.0245651702	0	0	177.806	0	0	3
8	5	0	0.116534972	99999.9925	99999.9891	99999.9641	99999.9966	0.0250516043	0	0	153.176	0	0	3
9	6	0	0.131101844	99999.9908	99999.9893	99999.9641	99999.9966	0.0252328992	0	0	136.85	0	0	3
10	6	0	0.145668715	99999.9904	99999.9894	99999.9641	99999.9966	0.0253409784	0	0	119.378	0	0	3
11	7	0	0.160235587	99999.9894	99999.9894	99999.9641	99999.9966	0.0253409784	0	0	107.028	0	0	3
12	7	0	0.174802458	99999.9885	99999.9893	99999.9641	99999.9966	0.0253409784	0	0	96.8736	0	0	3
13	8	0	0.18936933	99999.9875	99999.9892	99999.9641	99999.9966	0.0253409784	0	0	84.3777	0	0	3
14	8	0	0.203936202	99999.9869	99999.989	99999.9641	99999.9966	0.0253409784	0	0	71.9629	0	0	3
15	8	0	0.218503073	99999.9863	99999.9888	99999.9641	99999.9966	0.0253409784	0	0	60.8082	0	0	3
16	9	0	0.233069945	99999.9853	99999.9886	99999.9641	99999.9966	0.0253409784	0	0	53.1916	0	0	3
17	9	0	0.247636816	99999.9842	99999.9884	99999.9641	99999.9966	0.0253409784	0	0	46.1368	0	0	3
18	10	0	0.262203688	99999.9834	99999.9881	99999.9641	99999.9966	0.0253409784	0	0	40.8165	0	0	3
19	10	0	0.276770559	99999.9825	99999.9878	99999.9641	99999.9966	0.0253409784	0	0	36.3685	0	0	3
20	11	0	0.291337431	99999.9819	99999.9875	99999.9641	99999.9966	0.0253409784	0	0	32.9515	0	0	3
21	11	0	0.305904302	99999.9811	99999.9872	99999.9641	99999.9966	0.0253409784	0	0	31.5577	0	0	3
22	12	0	0.320471174	99999.9803	99999.9869	99999.9641	99999.9966	0.0253409784	0	0	29.815	0	0	3
23	13	0	0.335038045	99999.9798	99999.9866	99999.9641	99999.9966	0.0253409784	0	0	28.3663	0	0	3
24	13	0	0.349604917	99999.9795	99999.9863	99999.9641	99999.9966	0.0253409784	0	0	27.2952	0	0	3
25	14	0	0.364171788	99999.9791	99999.986	99999.9641	99999.9966	0.0253409784	0	0	27.1552	0	0	3
26	15	0	0.37873866	99999.9789	99999.9857	99999.9641	99999.9966	0.0253409784	0	0	26.9477	0	0	3
27	16	0	0.393305531	99999.9784	99999.9854	99999.9641	99999.9966	0.0253409784	0	0	26.8001	0	0	3
