Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0145668715	300.000016	300.000016	300.000016	300.000016	0	0	0	0.0727692	0	0	3
2	2	0	0.0291337431	300.000018	300.000017	300.000016	300.000018	1.00511596e-006	0	0	0.0713059	0	0	3
3	3	0	0.0437006146	300.000019	300.000018	300.000016	300.000019	1.57826128e-006	0	0	0.0672954	0	0	3
4	3	0	0.0582674861	300.000019	300.000018	300.000016	300.000019	1.98980092e-006	0	0	0.0640297	0	0	3
5	4	0	0.0728343577	300.00002	300.000018	300.000016	300.00002	2.33436191e-006	0	0	0.0602311	0	0	3
6	4	0	0.0874012292	300.00002	300.000019	300.000016	300.00002	2.67577684e-006	0	0	0.0564404	0	0	3
7	5	0	0.101968101	300.000021	300.000019	300.000016	300.000021	3.02361451e-006	0	0	0.0517653	0	0	3
8	5	0	0.116534972	300.000022	300.000019	300.000016	300.000022	3.3552767e-006	0	0	0.0484128	0	0	3
9	6	0	0.131101844	300.000022	300.00002	300.000016	300.000022	3.6707782e-006	0	0	0.0445688	0	0	3
10	6	0	0.145668715	300.000023	300.00002	300.000016	300.000023	3.96572358e-006	0	0	0.0417054	0	0	3
11	7	0	0.160235587	300.000023	300.00002	300.000016	300.000023	4.26061717e-006	0	0	0.0370995	0	0	3
12	7	0	0.174802458	300.000024	300.000021	300.000016	300.000024	4.54950242e-006	0	0	0.0336949	0	0	3
13	8	0	0.18936933	300.000024	300.000021	300.000016	300.000024	4.82233179e-006	0	0	0.0304915	0	0	3
14	8	0	0.203936202	300.000024	300.000021	300.000016	300.000024	5.07883794e-006	0	0	0.0281091	0	0	3
15	8	0	0.218503073	300.000025	300.000021	300.000016	300.000025	5.31816164e-006	0	0	0.0258844	0	0	3
16	9	0	0.233069945	300.000025	300.000022	300.000016	300.000025	5.55029902e-006	0	0	0.0237248	0	0	3
17	9	0	0.247636816	300.000025	300.000022	300.000016	300.000025	5.77132363e-006	0	0	0.0231498	0	0	3
18	10	0	0.262203688	300.000026	300.000022	300.000016	300.000026	5.98226455e-006	0	0	0.0231998	0	0	3
19	10	0	0.276770559	300.000026	300.000022	300.000016	300.000026	6.18208009e-006	0	0	0.0231034	0	0	3
20	11	0	0.291337431	300.000026	300.000022	300.000016	300.000026	6.37138379e-006	0	0	0.0230961	0	0	3
21	11	0	0.305904302	300.000026	300.000023	300.000016	300.000026	6.55454875e-006	0	0	0.0229653	0	0	3
22	12	0	0.320471174	300.000027	300.000023	300.000016	300.000027	6.73314662e-006	0	0	0.0228866	0	0	3
23	13	0	0.335038045	300.000027	300.000023	300.000016	300.000027	6.90860088e-006	0	0	0.0227144	0	0	3
24	13	0	0.349604917	300.000027	300.000023	300.000016	300.000027	7.08026414e-006	0	0	0.022517	0	0	3
25	14	0	0.364171788	300.000027	300.000023	300.000016	300.000027	7.24973034e-006	0	0	0.022087	0	0	3
26	15	0	0.37873866	300.000028	300.000023	300.000016	300.000028	7.42049212e-006	0	0	0.0221678	0	0	3
27	16	0	0.393305531	300.000028	300.000024	300.000016	300.000028	7.59141767e-006	0	0	0.0217238	0	0	3
