Iteration	CPUTime	PhysTime	Travels	CourFact
1	2	0	0.0145668715	0
2	2	0	0.0291337431	0
3	3	0	0.0437006146	0
4	3	0	0.0582674861	0
5	4	0	0.0728343577	0
6	4	0	0.0874012292	0
7	5	0	0.101968101	0
8	5	0	0.116534972	0
9	6	0	0.131101844	0
10	6	0	0.145668715	0
11	7	0	0.160235587	0
12	7	0	0.174802458	0
13	8	0	0.18936933	0
14	8	0	0.203936202	0
15	8	0	0.218503073	0
16	9	0	0.233069945	0
17	9	0	0.247636816	0
18	10	0	0.262203688	0
19	10	0	0.276770559	0
20	11	0	0.291337431	0
21	11	0	0.305904302	0
22	12	0	0.320471174	0
23	13	0	0.335038045	0
24	13	0	0.349604917	0
25	14	0	0.364171788	0
26	15	0	0.37873866	0
27	16	0	0.393305531	0
28	16	0	0.407872403	0
29	17	0	0.422439275	0
30	18	0	0.437006146	0
31	18	0	0.451573018	0
32	19	0	0.466139889	0
33	20	0	0.480706761	0
34	20	0	0.495273632	0
35	21	0	0.509840504	0
36	22	0	0.524407375	0
37	23	0	0.538974247	0
38	23	0	0.553541118	0
39	24	0	0.56810799	0
40	25	0	0.582674861	0
41	26	0	0.597241733	0
42	26	0	0.611808605	0
43	27	0	0.626375476	0
44	28	0	0.640942348	0
45	29	0	0.655509219	0
46	29	0	0.670076091	0
47	30	0	0.684642962	0
48	31	0	0.699209834	0
49	32	0	0.713776705	0
50	32	0	0.728343577	0
51	33	0	0.742910448	0
52	34	0	0.75747732	0
53	35	0	0.772044191	0
54	35	0	0.786611063	0
55	36	0	0.801177934	0
56	37	0	0.815744806	0
57	37	0	0.830311678	0
58	38	0	0.844878549	0
59	38	0	0.859445421	0
60	39	0	0.874012292	0
61	40	0	0.888579164	0
62	40	0	0.903146035	0
63	41	0	0.917712907	0
64	41	0	0.932279778	0
65	42	0	0.94684665	0
66	43	0	0.961413521	0
67	43	0	0.975980393	0
68	44	0	0.990547264	0
69	45	0	1.00511414	0
70	45	0	1.01968101	0
71	46	0	1.03424788	0
72	46	0	1.04881475	0
73	47	0	1.06338162	0
74	48	0	1.07794849	0
75	48	0	1.09251537	0
76	49	0	1.10708224	0
77	49	0	1.12164911	0
78	50	0	1.13621598	0
79	51	0	1.15078285	0
80	51	0	1.16534972	0
81	52	0	1.17991659	0
82	53	0	1.19448347	0
83	53	0	1.20905034	0
84	54	0	1.22361721	0
85	55	0	1.23818408	0
86	55	0	1.25275095	0
87	56	0	1.26731782	0
88	57	0	1.2818847	0
89	57	0	1.29645157	0
90	58	0	1.31101844	0
91	59	0	1.32558531	0
92	59	0	1.34015218	0
93	60	0	1.35471905	0
94	60	0	1.36928592	0
95	61	0	1.3838528	0
96	61	0	1.39841967	0
97	62	0	1.41298654	0
98	63	0	1.42755341	0
99	63	0	1.44212028	0
100	64	0	1.45668715	0
101	65	0	1.47125403	0
102	65	0	1.4858209	0
103	66	0	1.50038777	0
104	67	0	1.51495464	0
105	68	0	1.52952151	0
106	68	0	1.54408838	0
107	69	0	1.55865525	0
108	70	0	1.57322213	0
109	70	0	1.587789	0
110	71	0	1.60235587	0
111	71	0	1.61692274	0
112	72	0	1.63148961	0
113	73	0	1.64605648	0
114	74	0	1.66062336	0
115	74	0	1.67519023	0
116	75	0	1.6897571	0
117	75	0	1.70432397	0
